season,date,tournament,level,classification,classification_evidence,round,surface,home_player,away_player,home_player_id,away_player_id,winner_code,home_set_score,away_set_score,source,match_key
2021,2021-05-07,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Quarter-finals,clay,Bolsova Zadoinov A.,Tan H.,745434,141528,2.0,0.0,2.0,TennisData.app,03871faf7fc00f5309b4d0d2
2021,2021-05-07,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Quarter-finals,clay,Gracheva V.,Peterson R.,323630,152735,1.0,2.0,0.0,TennisData.app,0a371d1ece5f796899644243
2021,2021-05-07,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Quarter-finals,clay,Paolini J.,Schmiedlova A. K.,324333,537908,1.0,2.0,0.0,TennisData.app,6f86f2e33ead61aafc893c6b
2021,2021-05-07,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Quarter-finals,clay,Sasnovich A.,Golubic V.,114904,988932,2.0,0.0,2.0,TennisData.app,a119705942a8320fd2970367
2021,2021-05-08,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Semi-finals,clay,Paolini J.,Gracheva V.,324333,323630,1.0,2.0,0.0,TennisData.app,435d160acdea9560b28e5d15
2021,2021-05-08,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Semi-finals,clay,Tan H.,Golubic V.,141528,988932,2.0,0.0,2.0,TennisData.app,a1401ac105896d99dbff534c
2021,2021-05-09,Saint Malo Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Final,clay,Golubic V.,Paolini J.,988932,324333,1.0,2.0,0.0,TennisData.app,75faa36ae4f27887234c3ebe
2021,2021-06-07,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Dulgheru A.,Haas B.,284953,684536,2.0,0.0,2.0,TennisData.app,7249b284b00b66657c66caa4
2021,2021-06-07,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Konjuh A.,Samsonova L.,443315,286370,2.0,1.0,2.0,TennisData.app,cba8b865fe9c32bbeaa26fbb
2021,2021-06-07,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Minnen G.,Schmiedlova A. K.,460146,537908,2.0,0.0,1.0,TennisData.app,1e3dbe215da3e2132030667f
2021,2021-06-07,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Paolini J.,Hruncakova V.,324333,936947,1.0,2.0,0.0,TennisData.app,500325803e2ceabdc5f12d7b
2021,2021-06-07,Bol Chall. Women - Qualification,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Qualifier,clay,Arruabarrena L.,Ignatik A.,386473,811222,2.0,0.0,2.0,TennisData.app,54279f270fa6ef708f76402b
2021,2021-06-07,Bol Chall. Women - Qualification,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Qualifier,clay,Gorgodze E.,Samardzic A. E.,896973,950909,1.0,2.0,0.0,TennisData.app,1da19d1d6d06408dade579b2
2021,2021-06-07,Bol Chall. Women - Qualification,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Qualifier,clay,Muhammad A.,Galfi D.,982666,425404,2.0,1.0,2.0,TennisData.app,77cf36ebe431b155ee2eaa0f
2021,2021-06-07,Bol Chall. Women - Qualification,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,Qualifier,clay,Osuigwe W.,Sun L.,791769,460138,2.0,1.0,2.0,TennisData.app,b9858283627d6b4813156c00
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Arconada U. M.,Ignatik A.,232439,811222,2.0,1.0,2.0,TennisData.app,d35e7cfdb34ef9841ddf7b23
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Blinkova A.,Hon P.,126226,861465,1.0,2.0,1.0,TennisData.app,07b0c76d40f05d3e10880256
2021,2021-06-08,Bol Chall. Women,WTA Chall,WTA_125_CHALLENGER,source gate pre-normalization: tour_type_human=WTA Chall AND tour_type=4; normalized tt=4; bundle hashes verified,1/16-finals,clay,Bolsova Zadoinov A.,Lukas T.,745434,403135,2.0,0.0,2.0,TennisData.app,bb2e07ebdbc0f38e6051aa40
