player_id,name
425197,Ormaechea P.
425404,Galfi D.
425446,Shnaider D.
426426,Partaud M.
429149,Shroff S.
429517,Bejlek S.
431443,Stollar F.
432302,Avdeeva J.
434479,Bolkvadze M.
434532,Cabrera L.
435662,Rosca C.
435936,Kulikova A.
435950,Jamrichova R.
435996,Ionescu E. M.
436082,Riley A. J.
436924,Senties X.
437874,Horvit M.
439600,Grant T. C.
441079,Errani S.
441252,Stephens S.
443315,Konjuh A.
443511,Ivanova D.
444525,Kartal S.
446307,Diaz Adrover C.
446701,Dolehide C.
446947,Ferrando C.
448351,Yamazaki I.
448449,Corte C.
448529,Jones M.
449205,Colmegna M.
449857,Cadar E.-T.
451003,Lohoff J.
451842,Sebov K.
452225,Betova M.
453564,Vukovic D.
453784,De Santa Ana L.
455355,Baindl K.
456082,Mansouri Y.
457861,Parrizas-Diaz N.
458195,Capurro Taborda M.
460109,Bocchi E.
460138,Sun L.
460146,Minnen G.
461428,Poppe T.
461549,Charaeva A.
461629,Reasco Gonzalez M. E.
461778,Fourlis J.
462354,Scilipoti S.
463566,Kupres M.
464502,Garcia C.
465575,Sevastova A.
467664,Hule P.
469046,Laundes F.
469230,Tubello A.
470187,Hsu C.
470366,Eidelvein L.
470739,Zaar L.
470781,Jeong Y. W.
472080,Podlinska M.
472206,Cakarevic S.
472505,Ccuno R.
473526,Zamarripa A.
474466,Di Sarra F.
474730,Cepelova J.
475062,Samson L.
475260,Cherubini D.
476447,Vargas V.
477119,Kokkinis T.
478095,Britton D.
478693,Daniel J.
479475,Andrienko M.
480371,Bucsa C.
482028,Wang J.
482165,Uchijima M.
482640,Matz A.
482662,Berberovic N.
483379,Lovric P.
483551,Webb S.
483842,Fung S.
484337,Tran L.
485419,Meri E.
485516,Bouchard E.
485567,Ku Y.
485612,Struplova J.
488683,Frey A.
489399,Puig M.
492180,Petkovic A.
493665,Rocchetti S.
493996,Nepliy E.
494470,Lollia M.
496678,Gerlach K.
497843,Webley-Smith E.
498662,Castillo Meza M.
498997,Coleman E.
499387,Podoroska N.
500305,Varela T.
500520,Wei S.
501248,Gomez Pezuela Cano M.
501465,Gjorcheska L.
501552,Guillen G. I.
502395,Dell'Edera F.
503957,Detiuc A.
505128,Amariei I. D.
506008,Juvan K.
508136,Fernandez L.
510532,Inisan E.
510565,Zhu L.
511844,Guryleva V.
512224,Falkner Z.
512327,Giovannini L.
514019,Noel M.
514467,Gureva A.
515487,Sepa I.
515592,Bartunkova N.
516173,Ivantsiv M.
516395,Mair L.
518337,Rodriguez J.
518976,Benoit M.
519047,Sierra S.
520136,Stafford E.
520895,McNally C.
521900,Arias Manjon P.
524355,Sato N.
525889,Vergara Rivera A.
526040,Caffarena J.
526053,Hesse A.
527530,Abarquez E.
529319,Cortez Llorca L.
529546,Marzal L.
529952,Sharma A.
530449,Bayerlova M.
530750,Douglas E.
530813,Khomutsianskaya D.
531454,Barthel M.
531507,Arseneault A.
532132,Tjandramulia O.
532196,Ngounoue C.
534553,Lodikova D.
534612,Alcala A.
534672,Niemeier J.
534910,Gatto-Monticone G.
534993,McDonald E.
536741,Knight M.
537908,Schmiedlova A. K.
538390,Dartron E.
539000,Urgesi F.
540114,Scott K.
540263,Zolotareva A.
541028,Zelnickova R.
541042,Urrutia M. F.
542405,Rodionova Ar.
542969,Udvardy L.
543051,Ortenzi J.
543285,Dang Y.
543394,Dinu C.
543786,Sakatsume H.
545460,Caballer Catiru A.
546244,Matuszewski S.
546701,De Vroome I.
547034,Whittle S.
547054,Xu A.
548563,Astakhova D.
548584,Gabueva A.
549141,Kenin S.
550268,Crinebouch H.
551013,Paszek T.
551151,Mattioli F.
555385,Vickery S.
556756,Babos T.
557168,Hu V.
557676,Pera B.
558914,Alexandrova E.
559293,Jorge M.
560157,Atay S.
560389,Chong E.
560722,Wagner A.
561321,Kocak B.
561744,Kalinina A.
563551,Muchova K.
563616,Huang Yujia
564383,Ulueren S.
564861,Vrancken Peeters A.
565768,Qu Y.
566894,Isakova P.
568174,Breaz A.
568609,Rakhimova K.
568896,Svitolina E.
569469,Bassols M.
569601,Choi O.
570453,Goldsmith Weinreich P.
570872,Piter K.
571591,Morvayova V.
571895,Oliynykova O.
572630,Kolb M.
572929,Garcia J.
573328,Rain Contreras F.
576540,Paoletti M.
578005,Kuhl C.
578784,Cirpanli D.
578915,Bartashevich Y.
579236,Park E.
579922,Wong Hong Yi C.
580393,Hunter S.
581067,Malygina E.
583779,Chaudhari V.
584165,Jorge F.
584296,Ozgen P.
585791,Kovacevic T.
587923,Routliffe E.
588873,Carbone Dos Santos M.
589935,Prozorova T.
591336,Fett J.
592762,Krywoj M. S.
594051,Bonardi B.
595819,Bouzas Maneiro J.
595928,Silva J.
596468,Lu J.
597941,Pawlikowska Z.
598657,Sumoya V.
598773,Zhu A.
598811,Matias M.
600494,Wang Xin.
600745,Cirstea S.
601054,Onciulescu C.
601420,Mihalikova T.
601584,Kucova K.
602501,Strakhova V.
604556,Rosatello C.
604616,Ito A.
605419,Wuerth T.
605920,Lizarazo Y.
608604,Dong E.
609965,Allen K.
609972,Stusek J.
609978,Turini V.
610520,Bondar A.
611008,Schekaiban D.
611334,Ciric Bagaric L.
612234,Brantmeier R.
612398,Velaga E.
612587,Pedretti T.
612612,Torres Murcia M. C.
612621,Shinikova I.
613068,Pigato L.
613515,Fernandez B.
613722,Garcia Vidal L.
615273,Zanevska M.
615524,Hibino N.
616554,Salles Canudas A.
619460,Li A.
620119,Stoiber R. A.
620466,Bhatia R.
622836,Chang S.
623550,Moratelli A.
625150,Almenar Zabala A.
625215,Hsieh S-W.
625444,Glatch A.
626163,Kasatkina D.
628325,Kadi H.
630986,Watson H.
631020,Leong J.
631331,Popa M. S.
631483,Seidel E.
631913,Kim D.
632004,Martinez Hernandez M. F.
634665,Higuita Barraza M. I.
635918,Ewald W.
636076,Vaissaud D.
637260,Kumru A.
638557,Tig P. M.
640674,Duerst J.
641848,Sobolieva A.
644319,Kolonus Z.
645945,Guadiana Campos A. K.
646421,Inglis M.
646446,Larraya Guidi S. A.
647835,Stefanini L.
650165,Naef C.
651454,Ruzic A.
651561,Kolodynska J.
651611,Potapova A.
652440,Costoulas S.
652888,Tran D.
653254,Brengle M.
655613,Lazaro Garcia A.
656660,Snigur D.
657049,Cabaj Awad J.
658597,Saville D.
659115,Marozava L.
660940,Ilie D. M.
661221,Karatantcheva S.
661260,Blokhina A.
661928,Bertea A.
662324,Noel C.
663060,Parks A.
664017,Failla J.
670831,Bandecchi S.
671871,Parry D.
672600,Gonzalez M. A.
673285,Zvonareva V.
673298,Loeb J.
673787,Ponchet J.
673890,Lujan C.
674631,Wang Xiy.
675084,Marino R.
676347,Neel I.
676979,Guo H.
678747,Pace F.
678986,Micic E.
679599,Chwalinska M.
681373,Turkmen D.
681390,Lee G.
681751,Shibahara E.
682219,Cooling R.
682624,Nugroho P. M.
683725,Park S.
684064,Linette M.
684536,Haas B.
685452,Zucchini A.
685585,da Silva Fick G.
685811,Siegemund L.
686384,Licht T.
687632,Zhang R.
688602,Minella M.
688846,Stearns P.
688936,Zidansek T.
689222,Kempen M.
689373,Lamens S.
690300,Joint M.
690743,Ercan M.
691979,Imamura S.
692146,Haddad Maia B.
692744,Martinez D.
692785,Aksu A.
693081,Volodko K.
694009,Bohrer Martins C.
695399,Badosa P.
696314,Stoiana M.
696671,Losciale V.
696963,Kovalchuk K.
698016,Szabanin N.
699242,Kiick A.
699414,Naito Y.
700516,Allen V.
701534,Krueger A.
703969,Di Lorenzo F.
704367,Mikulskyte J.
704715,Gumulya B.
705345,Guo M.
705789,Freitas A.
706558,Kovacic N.
707117,Begu I.
708093,Castro B.
708710,Gonzalez Vilar R.
709638,Liu F.
710097,Lu J.
710939,Bara I.
711600,Jauffret C.
711882,Rouvroy M.
712759,Plipuech P.
713379,Hewitt D.
714095,Sieg M.
714334,Osaka N.
714939,Hernandez M. J.
715380,Eto N.
715935,Teixido Garcia M. A.
718010,Tsao C. Y.
719011,Safta A.
723286,Craciun G. A.
724011,Amiraghyan A.
725684,Kozarov K.
727666,Andreeva M.
728397,Blake E.
728537,Vikhlyantseva N.
729721,Sherif M.
730092,Esquiva Banuls C.
731934,Keys M.
732387,Cepede V.
733135,Efremova K.
733514,Yang Y.
733870,Gailis R.
734243,Milovanovic E.
735911,Montgomery R.
737156,Liu C.
738477,Sanz de Galdeano Bertomeu N.
739765,Ma Y.
741554,Li Z.
741705,Arango E.
742413,Brace C.
742712,Basiletti N.
743028,Hovde L.
743463,Lys E.
743963,Bhamidipaty S. R.
745434,Bolsova Zadoinov A.
746173,Wang Q.
747397,Manasse M.
748140,Tona M.
749101,Smith T. N.
750979,Mattek-Sands B.
753020,Stevanovic N.
756180,Kostyuk M.
756182,Ren Y.
757797,Ostlund F.
758419,Bienzobas Fernandez O.
759919,Flink V.
759920,Bonaventure Y.
761670,Dada-Mascoll S.
762933,Semenistaja D.
762962,Lene E.
763492,Belgraver J.
763849,Kotliar Y.
764894,Marithe Aludo S.
766060,Kalieva E.
766389,Knutson G.
768391,Falei A.
769396,Osorio C.
776122,Contreras Gomez F.
776717,Bernstein G.
778958,Herdzelas D.
779057,Gimbrere J.
779188,Aiava D.
779847,Rosca A.
780083,In-Albon Y.
780952,Tararudee L.
783430,McHale C.
783984,Zheng S.
787404,Iatcenko P.
788681,Alonso S.
789392,Wei Z.
789917,Andrianjafitrimo T.
790018,Siskova A.
790156,Abduraimova N.
791057,Shapatava S.
791769,Osuigwe W.
792158,Rakotomanga Rajaonah T.
792466,Kaji H.
794930,Jones F.
795651,Bertacchi A.
796304,Schoppe E.
796484,Khromacheva I.
797291,Tjen J.
798845,Mitu A.
799344,Boisson L.
799426,Klugman H.
799536,Kononova M.
800493,Montesinos S.
802714,Dmitruk K.
803369,Lao D.
803486,Yuan Y.
803593,Falkowska W.
803641,Jones E.
804248,Navarro E.
804503,Perez E.
805782,Dart H.
806694,Estable L. J.
809492,Zheng Q.
809758,Mertens E.
810285,Radisic N.
810328,Akli A.
811222,Ignatik A.
812349,Duval V.
813190,Yastremska D.
813711,Bertea E. R.
814503,Krunic A.
815073,Kudashova D.
815132,Vazquez C.
815623,Cervino Ruiz C.
817090,Matsuda R.
817394,Popovic I.
818136,Dunne K.
819607,Van Uytvanck A.
821818,Chavez T.
822142,Matsuda M.
824052,Buzarnescu M.
824108,Kudermetova P.
824175,Back D.
824350,Lares E.
824559,Martic P.
824735,Yao X.
825397,Selekhmeteva O.
825826,Delai M.
826019,Mladenovic K.
826437,Bektas E.
826660,Aranzabal N.
826836,Hennemann C. W.
827435,Collins K.
828867,Gibson T.
830290,Subasic A.
831574,Christie F.
831593,Vagramov A.
831755,Gavrila O.
832703,Cakil D.
833730,Pellicano H.
833748,Gaillard D.
834140,Pavlyuchenkova A.
836015,Zeballos N.
839545,Regalado Macias F.
840243,Nitture A. D.
840627,Di Giuseppe M.
840869,Perrin C.
841398,Nara K.
841682,Arifullina A.
842525,Martins I.
844223,Mboko V.
844265,Ukolova A.
844493,Heisen V.
846341,Miller K.
847399,Osborne A.
848660,Kostovic T.
848844,Di Genova C.
849090,Garibay Romero C.
851560,Birrell K.
852000,Suciu A.
852825,Thandi K. K.
853053,Halep S.
855241,Meliss V.
855453,Stankiewicz M.
856909,Ospina M.
857101,Rinaldo Persson K.
858188,Raducanu E.
860217,Lella E.
860419,Ansari C.
861465,Hon P.
861814,Rabl L.
863232,Pareja J.
863713,Cooper N.
863771,Glushko L.
865642,Nilsson L.
866608,Kawa K.
866621,Sanchez Uribe M. J.
867832,Casares M.
868434,Zelinskaya D.
868549,Kichenok N.
869181,Tikhonova A.
869298,Pohankova M.
873121,Diaz Zayas L.
873651,Lisicki S.
873862,Alba Verastegui S.
875153,Roldan Santander M. B.
876509,Rapolu M.
876717,Kazionova E.
877208,Romeo C.
877693,Moore T.
878209,You X.
879393,Kraus S.
880806,Anderson R.
880955,Amorim G.
882868,Wu Ho C.
884844,Pliskova Ka.
885285,Saracoglu A.
885615,Zhang Y.
885650,Teodosescu A.
885728,Cristian J.
885767,Riera J.
886250,Okamura K.
887867,Miyazaki L.
888093,Bhosale R.
888662,Nagy A.
888877,Hosogi S.
