record_id,year,canonical_match_id,tournament_hist,tournament_pbp_source,tournament_td_source,round,surface,winner,loser,historical_score,pbp_derived_score_gamewise,independent_recheck_score_match,td_source_score,pbp_source_date,td_source_date,date_diff_days,pbp_server1,pbp_server2,fix_type,real_matching_field_multitoken_risk
2015|1937,2015,2015-W-PM-USA-02A-2015#85,Miami,MiamiOpen-WTAMiami,Sony Ericsson Open,R16,Hard,Carla Suarez Navarro,Agnieszka Radwanska,5-7 6-0 6-4,"[[5, 7], [6, 0], [6, 4]]",True,5-7 6-0 6-4,2015-03-30,2015-03-30,0,Agnieszka Radwanska,Carla Suarez Navarro,tournament_alias+compound_surname,True
2013|1508,2013,2013-W-PM-USA-02A-2013#52,Miami,SonyOpenTennis-WTAMiami.html,Sony Ericsson Open,R64,Hard,Ana Ivanovic,Urszula Radwanska,6-2 6-1,"[[6, 2], [6, 1]]",True,6-2 6-1,2013-03-22,2013-03-23,1,Ana Ivanovic,Urszula Radwanska,tournament_alias+date_tolerance,False
2014|2180,2014,2014-W-PR-USA-03A-2014#3,Cincinnati,Western&amp;SouthernOpen-WTACincinnati,Western & Southern Financial Group Women's Open,R64,Hard,Flavia Pennetta,Chanelle Scheepers,6-3 6-7(3) 6-2,"[[6, 3], [6, 7], [6, 2]]",True,6-3 6-7 6-2,2014-08-11,2014-08-12,1,Chanelle Scheepers,Flavia Pennetta,tournament_alias+date_tolerance,False
2014|2212,2014,2014-W-PR-USA-03A-2014#35,Cincinnati,Western&amp;SouthernOpen-WTACincinnati,Western & Southern Financial Group Women's Open,R32,Hard,Carla Suarez Navarro,Pauline Parmentier,6-3 7-5,"[[6, 3], [7, 5]]",True,6-3 7-5,2014-08-13,2014-08-13,0,Carla Suarez Navarro,Pauline Parmentier,tournament_alias+compound_surname,True
2014|2223,2014,2014-W-PR-USA-03A-2014#46,Cincinnati,Western&amp;SouthernOpen-WTACincinnati,Western & Southern Financial Group Women's Open,R16,Hard,Elina Svitolina,Carla Suarez Navarro,4-6 6-4 6-4,"[[4, 6], [6, 4], [6, 4]]",True,4-6 6-4 6-4,2014-08-14,2014-08-14,0,Carla Suarez Navarro,Elina Svitolina,tournament_alias+compound_surname,True
2012|1128,2012,2012-W-INT-POR-01A-2012#30,Estoril,EstorilOpen-WTAEstoril.html,Estoril Open,SF,Clay,Carla Suarez Navarro,Karin Knapp,6-4 6-0,"[[6, 4], [6, 0]]",True,6-4 6-0,2012-05-04,2012-05-04,0,Karin Knapp,Carla Suarez Navarro,compound_surname,True
2015|2009,2015,2015-W-PR-BEL-01A-2015#4,Antwerp,BNPParibasFortisDiamondGames-WTAAntwerp,BNP Paribas Fortis Diamond Games,R32,Hard,Alison Van Uytvanck,Magdalena Rybarikova,6-2 6-3,"[[6, 2], [6, 3]]",True,6-2 6-3,2015-02-10,2015-02-10,0,Alison Van Uytvanck,Magdalena Rybarikova,compound_surname,True
2014|1429,2014,2014-W-PM-USA-01A-2014#23,Indian Wells,BNPParibasOpen-WTAIndianWells,BNP Paribas Open,R128,Hard,Varvara Lepchenko,Alison Van Uytvanck,6-2 6-2,"[[6, 2], [6, 2]]",True,6-2 6-2,2014-03-06,2014-03-06,0,Alison Van Uytvanck,Varvara Lepchenko,compound_surname,True
2014|2160,2014,2014-W-PR-USA-02A-2014#10,Stanford,BankOfTheWestClassic-WTAStanford,Bank of the West Classic,R32,Hard,Monica Puig,Carla Suarez Navarro,6-3 7-5,"[[6, 3], [7, 5]]",True,6-3 7-5,2014-07-29,2014-07-29,0,Monica Puig,Carla Suarez Navarro,compound_surname,True
2014|1892,2014,2014-W-PR-GER-01A-2014#15,Stuttgart,PorscheTennisGrandPrix-WTAStuttgart,Porsche Tennis Grand Prix,R16,Clay,Carla Suarez Navarro,Angelique Kerber,7-5 6-4,"[[7, 5], [6, 4]]",True,7-5 6-4,2014-04-24,2014-04-24,0,Carla Suarez Navarro,Angelique Kerber,compound_surname,True
2013|1281,2013,2013-W-PM-CHN-01A-2013#42,Beijing,ChinaOpen-WTABeijing,China Open,R32,Hard,Carla Suarez Navarro,Lauren Davis,6-4 6-2,"[[6, 4], [6, 2]]",True,6-4 6-2,2013-10-01,2013-10-01,0,Carla Suarez Navarro,Lauren Davis,compound_surname,True
2013|375,2013,2013-W-INT-AUT-02A-2013#27,Linz,GeneraliLadiesLinz-WTALinz,Generali Ladies Linz,QF,Hard,Carla Suarez Navarro,Kirsten Flipkens,6-1 6-3,"[[6, 1], [6, 3]]",True,6-1 6-3,2013-10-11,2013-10-11,0,Kirsten Flipkens,Carla Suarez Navarro,compound_surname,True
2012|2421,2012,2012-W-SL-AUS-01A-2012#96,Australian Open,WomensAustralianOpen.html,Australian Open,R64,Hard,Petra Kvitova,Carla Suarez Navarro,6-2 2-6 6-4,"[[6, 2], [2, 6], [6, 4]]",True,6-2 2-6 6-4,2012-01-19,2012-01-19,0,Carla Suarez Navarro,Petra Kvitova,compound_surname,True
2014|1101,2014,2014-W-INT-ROU-01A-2014#3,Bucharest,BucharestOpen-WTABucharest,Bucharest Open,R32,Clay,Cagla Buyukakcay,Veronica Cepede Royg,6-2 6-3,"[[6, 2], [6, 3]]",True,6-2 6-3,2014-07-07,2014-07-07,0,Cagla Buyukakcay,Veronica Cepede Royg,compound_surname,True
2013|926,2013,2013-W-INT-MEX-01A-2013#28,Acapulco,AbiertoMexicanoTelcel-WTAAcapulco,Abierto Mexicano,QF,Clay,Carla Suarez Navarro,Francesca Schiavone,6-7(5) 6-4 6-2,"[[6, 7], [6, 4], [6, 2]]",True,6-7 6-4 6-2,2013-02-28,2013-02-28,0,Francesca Schiavone,Carla Suarez Navarro,compound_surname,True
