y,d,e,r,s,h,a,w,hs,as,tt
2022,20220915,25,2,0,710939,707117,2,0,2,4
2022,20220916,25,5,0,115828,416641,1,2,1,4
2022,20220916,25,5,0,615273,729721,1,2,0,4
2022,20220916,25,5,0,441079,149280,1,2,1,4
2022,20220916,25,5,0,455355,707117,2,0,2,4
2022,20220917,28,4,0,804248,926087,1,2,1,4
2022,20220917,28,4,0,360863,936947,1,2,0,4
2022,20220917,25,6,0,115828,615273,1,2,0,4
2022,20220917,28,4,0,888662,303568,2,1,2,4
2022,20220917,28,4,0,790156,923407,1,1,0,4
2022,20220917,28,4,0,548584,182026,2,0,2,4
2022,20220917,25,6,0,441079,707117,2,0,2,4
2022,20220917,28,4,0,842525,240894,2,0,2,4
2022,20220917,28,4,0,396570,344636,2,1,2,4
2022,20220917,28,4,0,293685,957435,1,2,0,4
2022,20220918,28,4,0,240894,360863,1,2,1,4
2022,20220918,28,4,0,804248,790156,1,2,0,4
2022,20220918,25,3,0,115828,707117,2,0,2,4
2022,20220918,28,4,0,182026,303568,1,2,1,4
2022,20220918,28,4,0,293685,344636,1,1,0,4
2022,20220919,27,1,0,710939,192862,2,0,2,4
2022,20220919,27,1,0,293685,152800,1,2,1,4
2022,20220919,27,1,0,240894,537908,2,0,2,4
2022,20220919,27,1,0,182026,729721,2,1,2,4
2022,20220919,27,1,0,804248,425404,1,2,0,4
2022,20220920,27,1,0,416641,698016,2,0,2,4
2022,20220920,27,1,0,324333,897792,2,1,2,4
2022,20220920,27,1,0,480371,330724,2,0,0,4
2022,20220920,27,1,0,331161,457861,1,2,0,4
2022,20220920,27,1,0,346262,556756,1,2,0,4
2022,20220920,27,1,0,115828,989873,2,0,2,4
2022,20220920,27,1,0,534672,362890,1,2,1,4
2022,20220920,27,1,0,328017,342785,2,0,2,4
2022,20220920,27,1,0,121013,610520,2,0,2,4
2022,20220920,27,1,0,688936,431443,1,2,0,4
2022,20220920,27,1,0,303568,137430,1,2,0,4
2022,20220921,27,2,0,537908,729721,1,2,0,4
2022,20220921,27,2,0,804248,331161,2,0,2,4
2022,20220921,27,2,0,989873,293685,2,1,2,4
2022,20220921,27,2,0,330724,610520,2,1,2,4
2022,20220921,27,2,0,534672,688936,2,0,2,4
2022,20220921,27,2,0,897792,346262,1,2,1,4
2022,20220921,27,2,0,303568,192862,2,0,2,4
2022,20220921,27,2,0,698016,342785,2,1,2,4
2022,20220922,27,5,0,897792,537908,1,2,0,4
2022,20220922,27,5,0,192862,331161,1,2,1,4
2022,20220922,27,5,0,688936,610520,2,1,2,4
2022,20220922,27,5,0,342785,293685,2,1,2,4
2022,20220923,27,6,0,293685,610520,1,2,0,4
